id;tsunami;year;month;day;latitude;longitude;focaldepth;magnitude;deaths;country;country_zone
269;;1683;11;27;27.7;54.3;;;;IRAN: LAR-BIRIZ-BANARUD;East
270;;1683;;;40.1;44.3;;;;ARMENIA: JEREVAN (ERIVAN);North
271;;1684;;;19;-71;;;;DOMINICAN REPUBLIC: SANTO DOMINGO,AZUA;West
272;;1687;2;19;18.3;-77.5;;;;JAMAICA;East
273;;1687;4;;36.2;59.4;;;;IRAN: MASHHAD;North
274;Yes;1687;7;12;-32.8;-70.7;;7.5;;CHILE: SANTIAGO;North
275;Yes;1687;10;20;-13.5;-76.5;30;8.5;5000;PERU: LIMA;South
276;;1687;11;22;-1.3;-78.6;;7.3;;ECUADOR;South
277;;1688;1;;40.38;16.55;;;2000;ITALY: PISTICCI;East
278;;1688;2;19;17.917;-76.867;;;;JAMAICA: PORT ROYAL;East
279;Yes;1688;3;1;17.6;-76.5;;;;JAMAICA: PORT ROYAL;South
280;;1688;4;11;44.4;12;;;;ITALY: COTIGNOLA, BAGNACAVALLO;South
281;;1688;5;;24;68;;;;PAKISTAN: DELTA OF THE INDUS;East
282;;1688;6;5;41.17;14.75;;;3311;ITALY: BENEVENTO;North
283;;1688;6;14;26.5;99.9;;6.3;190;CHINA: YUNNAN PROVINCE;South
284;Yes;1688;7;10;38.4;26.9;;0.7;16000;TURKEY: IZMIR;West
285;;1688;7;12;38.4;26.9;;7.5;;GREECE: AEGEAN SEA;South
286;;1688;;;43.7;44.7;15;5.3;;RUSSIA: TERSK;West
287;;1689;3;;-2.2;-78.9;5;6.8;;ECUADOR: TIXAN;East
288;;1689;12;22;;;;;19;AUSTRIA: INNSBRUCK;North
289;Yes;1690;4;16;;;;0.8;;ANTIGUA;East
290;;1690;12;4;46.6;13.8;;;20;AUSTRIA: CARINTHIE;North
291;;1691;;;18.3;-70.4;;;;DOMINICAN REPUBLIC: AZUA;North
292;Yes;1692;6;7;17.8;-76.7;10;;1000;JAMAICA: PORT ROYAL;South
