id;tsunami;year;month;day;latitude;longitude;focaldepth;magnitude;deaths;country;country_zone
2688;;1943;11;28;54.9;156.8;33;7.6;4020;RUSSIA: KAMCHATKA;North
2689;;1943;12;5;40;40;350;7.6;;TURKEY: ANATOLIA: NE;East
2690;;1944;1;15;-31.5;-68.5;;;550;ARGENTINA: SAN JUAN PROVINCE;East
2691;;1944;2;1;41.4;32.7;50;7.8;8000;TURKEY;East
2692;;1944;3;9;44;84;33;7.4;2381;CHINA: XINJIANG PROVINCE;West
2693;;1944;3;22;-8.5;123.5;;7.2;3;INDONESIA: FLORES;South
2694;;1944;4;5;36.8;54.5;220;7.5;;IRAN: GORGAN;East
2695;;1944;5;25;-2.5;152.8;7;4.8;20;PAPUA NEW GUINEA: NEW IRELAND;North
2696;;1944;6;25;38.9;29.3;60;7.5;;TURKEY: USAK;West
2697;;1944;7;30;36.7;22.5;33;0.6;21;GREECE: KAMPOS (LACONIA);West
2698;;1944;9;5;44.957;-74.723;8;5.7;;NEW YORK: MASSENA;North
2699;;1944;9;27;39.1;75;12;5.6;;CHINA: XINJIANG;West
2700;;1944;10;5;-22.5;172;;0.7;;NEW CALEDONIA: LOYALTY ISLANDS;North
2701;;1944;10;6;39.4;26.7;120;7.5;;TURKEY: AYVALIK;West
2702;;1944;11;24;-19;169;;6.8;30;VANUATU ISLANDS;West
2703;;1944;12;7;34;137.1;170;7.5;;JAPAN: OFF SOUTHEAST COAST KII PENINSULA;East
2704;Yes;1945;1;12;34.7;137.2;30;8.1;1223;JAPAN: HONSHU: S;South
2705;Yes;1945;2;10;40.9;142.1;;7.1;2306;SANRIKU, JAPAN;West
2706;Yes;1945;3;18;;32;20;;;UGANDA: MASARA;South
2707;;1945;3;20;37.4;35.8;;0.6;5;TURKEY: AELANA, CEYHAN, ADANA;North
2708;;1945;5;11;35.2;52.1;60;0.6;300;IRAN: GARMSAR,KERAND,BANKUH;South
2709;;1945;6;21;38.5;43.3;;;20;TURKEY;South
2710;;1945;7;29;38.5;43.3;;;;TURKEY: VAN,BOLGESI;North
2711;;1945;9;12;;;;;300;CAMEROON: CONGO;South
2712;;1945;9;23;39.5;119;;6.2;;CHINA: HEBEI PROVINCE;West
2713;;1945;11;27;24.5;63;;6.3;17;PAKISTAN: MAKRAN COAST;East
2714;Yes;1945;12;21;38;28.9;15;0.8;4000;TURKEY: DENIZLI, BURDUR;North
2715;;1945;12;28;-6;150;;;7;PAPUA NEW GUINEA: NEW BRITAIN;West
2716;;1946;2;10;32.5;59.1;60;7.8;;IRAN: GIV (SE BIRJAND);West
2717;;1946;2;12;35.75;5;;;3;ALGERIA: HODNA MOUNTAINS;North
2718;;1946;2;21;38.2;31.8;;5.6;264;TURKEY: IIGIN, KONYA;West
2719;;1946;3;12;29.4;51.4;60;5.6;12;IRAN: KAZERUN;North
2720;;1946;4;1;53.492;-162.832;;;;ALASKA: UNIMAK ISLAND;North
2721;Yes;1946;5;31;39.3;41.2;15;8.6;;TURKEY: USTUKRAN;South
2722;;1946;6;23;49.87;-124.92;;5.9;840;BRITISH COLUMBIA;West
2723;Yes;1946;8;2;-26.5;-70.5;;7.3;;CHILE: NORTHERN;West
2724;Yes;1946;8;4;19.25;-69;60;7.9;2;DOMINICAN REPUBLIC: NORTHEASTERN COAST;North
2725;Yes;1946;8;8;19.5;-69.5;15;7.9;;DOMINICAN REPUBLIC: NORTHEASTERN COAST;South
2726;Yes;1946;9;12;23.9;96.2;15;7.5;;MYANMAR (BURMA);West
2727;;1946;9;12;23.9;96.2;60;7.5;;MYANMAR (BURMA);East
2728;;1946;9;29;-4.5;153.5;60;7.8;;PAPUA NEW GUINEA: NEW IRELAND;West
2729;;1946;9;30;-14;-76.25;60;7.7;;PERU: PISCO;West
2730;Yes;1946;11;1;51.5;-174.5;70;0.7;;ALASKA: EAST ALEUTIAN ISLANDS;North
2731;Yes;1946;11;2;41.5;72.5;40;;;KYRGYZSTAN;West
2732;;1946;11;4;39.3;55.4;35;7.6;;TURKMENISTAN;West
2733;;1946;11;10;-8.5;-77.5;26;7.5;400;PERU: JOCAIBAMBA,CERRO ANGASCHAJ,CERRO SILLAPATA;West
2734;;1946;12;4;23.1;120.3;12;7.3;800;TAIWAN;West
2735;;1946;12;20;33;135.6;;6.8;58;JAPAN: HONSHU: S COAST;West
2736;Yes;1947;1;26;13.2;-87.5;20;8.1;1362;EL SALVADOR: LA UNION;South
2737;;1947;3;17;33.3;99.5;;;;CHINA: QINGHAI PROVINCE;East
2738;;1947;3;25;-38.85;178.87;;7.7;;NEW ZEALAND: OFF COAST NORTH ISLAND;West
2739;Yes;1947;3;26;25;102;12;7.1;;CHINA: YUNNAN PROVINCE;South
2740;;1947;4;10;35;-116.6;;5.5;1;CALIFORNIA;East
2741;;1947;5;6;-6.5;148.5;;6.4;;PAPUA NEW GUINEA: NEW BRITAIN;North
2742;;1947;5;17;-38.42;178.88;33;7.3;;NEW ZEALAND: OFF COAST NORTH ISLAND;North
2743;Yes;1947;6;7;26.7;102.9;12;6.9;;CHINA: SICHUAN PROVINCE;East
2744;;1947;7;10;37.5;57.8;;5.5;3;IRAN: SHIRVAN;South
2745;;1947;7;14;1.2;-77.2;9;4.1;;COLOMBIA: PASTO;South
2746;;1947;7;29;28.5;94;10;;2;INDIA-CHINA;North
2747;;1947;8;5;25.5;63;60;7.9;;PAKISTAN: GWADAR;South
2748;;1947;8;6;37;8;;7.6;;ALGERIA;East
2749;;1947;9;23;33.4;58.7;;5.3;3;IRAN: DUSTABAD;North
2750;;1947;10;6;37;22;;6.9;500;GREECE: S: PYLIA (MESSINIA);West
2751;Yes;1947;11;1;-10.5;-75;28;6.9;3;PERU: SATIPO,ANDAMARCA,ACOBAMBA,LA MERCED,VICTOC;West
2752;;1947;11;4;43.8;141;100;7.3;233;W. HOKKAIDO ISLAND, JAPAN;West
2753;Yes;1948;1;24;10.5;122;33;0.7;;PHILIPPINES: PANAY, ILOILO CITY, ANTIQUE;North
2754;Yes;1948;2;9;35.8;27.19;33;8.3;72;GREECE: DODECANESE ISLANDS;West
2755;Yes;1948;3;1;-3;127.5;60;7.1;;INDONESIA: SERAM;East
2756;;1948;4;17;33.1;135.6;60;7.9;;TOKAIDO, JAPAN;North
2757;Yes;1948;4;22;38.532;20.425;40;;;GREECE: VASILIKI (LEUKAS);North
2758;Yes;1948;5;7;44.6;10.9;15;6.5;2;ITALY: N;East
2759;;1948;5;11;-17.4;-71;;;;PERU: AREQUIPA,MOQUEGUA,TACNA,TORATA,QUELLAVECO;West
2760;;1948;5;14;54.5;-161;60;7.1;1;ALASKA: ALASKA PENINSULA;West
2761;;1948;5;23;37.2;121.8;25;7.5;;CHINA: SHANDONG PROVINCE;East
2762;Yes;1948;5;25;29.5;100.5;;0.6;;CHINA: SICHUAN PROVINCE;East
2763;;1948;5;28;-13.1;-76.2;18;7.3;800;PERU: CANETE;West
2764;;1948;6;2;6;95;55;6.8;4;INDONESIA: OFF NORTHWEST COAST;North
2765;Yes;1948;6;27;26.4;99.7;;6.2;;CHINA: YUNNAN PROVINCE;South
2766;;1948;6;28;36.5;136;;6.8;110;JAPAN: FUKUI;North
2767;;1948;6;30;38.5;20.5;20;7.3;5131;GREECE: TSOUKALADES-KALAMITSI (LEUKAS);South
2768;;1948;9;8;-21;-174;33;6.4;6;TONGA ISLANDS;East
2769;Yes;1948;10;5;37.95;58.32;25;7.9;;TURKMENISTAN: ASHKHABAD;South
2770;;1948;10;8;27.4;104;18;7.3;110000;CHINA: GUIZHOU PROVINCE;East
2771;;1948;12;4;22;-106;;5.8;3;MEXICO: MARIA MADRE ISLAND;East
2772;Yes;1948;12;26;-22.5;-69;;6.9;4;CHILE: ANTOFAGASTA;West
2773;Yes;1949;1;27;54.6;163.5;100;0.7;;RUSSIA: KAMCHATKA;East
2774;Yes;1949;2;9;38.2;20;150;;;GRFECE: OFF WEST COAST;East
2775;Yes;1949;2;23;42;84;15;;;CHINA: XINJIANG PROVINCE;South
2776;;1949;3;4;36;70.5;;7.3;21;AFGHANISTAN: HINDU-KUSH, WEST PUNJAB;East
2777;;1949;4;13;47.167;-122.617;230;7.5;;WASHINGTON;West
2778;Yes;1949;4;20;-38;-73.5;;0.7;8;CHILE: ANGOL, TRAIGUEN;East
2779;Yes;1949;4;24;27.28;56.46;70;7.3;57;IRAN: MAKHL-E-NAKHODA,BANDAR ABBAS,BAZAAR;East
2780;;1949;5;9;5;95;100;6.3;;INDONESIA: BANDA ACEH;North
2781;Yes;1949;7;10;39.2;70.8;;6.7;;TAJIKISTAN;South
2782;;1949;7;23;;;16;7.4;3500;GREECE: CHIOS, OENOUSSAE;South
2783;Yes;1949;8;4;-1.4;-78.5;;6.7;7;ECUADOR: PELILEO;East
2784;;1949;8;5;-1.5;-78.2;10;6.7;;ECUADOR;North
2785;;1949;8;6;-18.5;-174.5;60;6.8;6000;TONGA ISLANDS;North
2786;;1949;8;17;39;40.5;70;7.5;;TURKEY: KARLIOVA;East
2787;;1949;8;22;53.62;-133.27;;6.8;320;CANADA: QUEEN CHARLOTTE ISLANDS;West
2788;Yes;1949;9;5;17;121.5;25;8.1;;PHILIPPINES: N LUZON;West
2789;Yes;1949;9;15;42.5;12.7;80;6.4;;ITALY: CENTRAL;South
2790;;1949;10;19;-5.5;154;;;;PAPUA NEW GUINEA: BISMARCK SEA;North
2791;Yes;1949;11;13;30.3;102.5;60;7.5;;CHINA: SICHUAN PROVINCE;South
2792;;1949;11;17;33.75;-118.25;;5.5;;CALIFORNIA: SOUTHERN;North
2793;;1949;12;17;-54;-71;;;;CHILE: TIERRA DEL FUEGO;North
2794;Yes;1949;12;17;-54;-71;33;7.8;1;CHILE: TIERRA DEL FUEGO;South
2795;Yes;1949;12;29;17;121.63;33;7.8;3;PHILIPPINES: LUZON: E;West
2796;Yes;1950;1;19;27.3;53.2;;7.2;;IRAN: BUSHIRE;South
2797;;1950;1;30;-53.5;-71.5;;;20;CHILE: SOUTHERN;West
2798;Yes;1950;2;2;21.7;100.1;33;0.7;;CHINA: YUNNAN PROVINCE;South
2799;;1950;2;4;40;40;;0.7;;TURKEY;East
2800;;1950;2;28;46;144;;;20;RUSSIA: SEA OF OKHOTSK;North
2801;;1950;3;7;-8;-71;340;7.9;;BRAZIL;North
2802;;1950;3;14;-37.8;177.2;550;;;N. NEW ZEALAND;East
2803;Yes;1950;4;30;6.5;-83;;5.8;;PANAMA;West
2804;Yes;1950;5;16;-15;-69.5;;;;PERU;North
2805;;1950;5;21;-13.5;-72;250;7.9;;PERU: CUSCO;East
2806;;1950;6;19;-6;113;;0.6;83;INDONESIA: JAVA: GRESIK;East
2807;;1950;7;9;7.8;-72.5;;6.5;16;COLOMBIA: ANBOLEDAS;West
2808;;1950;8;3;10.5;-68;41;;211;VENEZUELA: EL TOCUYO;South
2809;Yes;1950;8;5;-1.5;-78.2;8;6.8;100;ECUADOR;West
2810;;1950;8;15;28.5;96.5;60;6.8;;INDIA-CHINA;East
2811;Yes;1950;9;13;23.5;103.1;33;8.6;1530;CHINA: YUNNAN PROVINCE;South
2812;;1950;10;5;11;-85;;5.8;;COSTA RICA-NICARAGUA;North
2813;Yes;1950;10;8;-3.8;128.3;60;7.7;;INDONESIA: SERAM;South
2814;Yes;1950;10;23;14.31;-91.917;60;7.6;;GUATEMALA: SAN MARCOS;West
2815;Yes;1950;11;2;-6.5;129.5;65;7.5;;INDONESIA: BANDA SEA;North
2816;;1950;11;8;-10;159.5;60;8.1;;SOLOMON ISLANDS: SOLOMON SEA;West
2817;Yes;1950;11;17;16.5;-100.4;33;7.3;;MEXICO: GUERRERO;South
2818;;1950;12;2;-18.25;167.5;;6.8;;VANUATU ISLANDS;West
2819;Yes;1950;12;9;-23.5;-67.5;60;7.8;;CHILE-ARGENTINA;East
2820;;1950;12;10;-14.25;-75.75;100;0.8;1;PERU: ICA,CHIMBOTE,HUARAZ,CAJAMARCA,CUZCO,MOQUEGUA;West
2821;Yes;1950;12;14;-19.5;-176;80;0.7;4;TONGA ISLANDS;South
2822;;1950;12;14;16.48;-98.22;200;7.7;;MEXICO: ACAPULCO;North
2823;Yes;1951;2;18;-9.3;147.1;50;7.5;;PAPUA NEW GUINEA;East
2824;;1951;2;22;-3.252;142.238;;;3000;PAPUA NEW GUINEA: BISMARCK SEA;North
2825;Yes;1951;3;19;9.5;127.3;25;6.1;;PHILIPPINES;North
2826;;1951;5;6;13;-87.8;;7.8;;EL SALVADOR: JUCUAPA;South
2827;;1951;5;16;-15;-69.5;100;6.5;1100;PERU;West
2828;;1951;7;9;16.1;-96.8;250;7.9;;MEXICO: OAXACA: MIAHIATLAN;South
2829;;1951;8;3;13;-87.5;50;6.2;1;NICARAGUA: GULF OF FONSECA: POTOSI;West
2830;Yes;1951;8;6;13;-87.5;100;0.6;;NICARAGUA: GULF OF FONSECA: JINOTEGA;North
2831;;1951;8;8;41.6;13.8;100;5.5;;ITALY: S;North
2832;;1951;8;13;40.8;33.4;;;;TURKEY: KURSUNLU;East
2833;;1951;8;15;33.5;-118.2;;6.7;50;CALIFORNIA: TERMINAL ISLAND;East
2834;;1951;8;21;19.7;-156;;;;HAWAII;East
2835;Yes;1951;10;22;23.8;121.7;60;6.9;;TAIWAN;East
2836;Yes;1951;11;18;31.1;91.4;21;7.3;68;CHINA: TIBET (XIZANG PROVINCE);North
2837;;1951;11;24;22.9;121.5;25;7.5;;TAIWAN;West
2838;;1951;12;8;-34;57;;7.5;17;INDIAN OCEAN: S;North
2839;;1951;12;21;26.7;100;25;7.9;;CHINA: YUNNAN PROVINCE;East
2840;Yes;1952;1;3;39.9;41.7;;6.3;;TURKEY: PASINLER (HASANKALE), ERZURUM;North
2841;;1952;2;26;-14.1;-69.9;;0.6;103;PERU-BOLIVIA;North
2842;;1952;3;4;42.15;143.85;;7.5;;JAPAN: HOKKAIDO;South
2843;Yes;1952;3;9;41.7;142.5;45;8.1;33;JAPAN: HOKKAIDO;South
2844;Yes;1952;3;17;19.11;-155.033;;7.1;;HAWAII;East
2845;Yes;1952;3;19;9.5;127.25;33;;;PHILIPPINES: BUTUAN;West
2846;Yes;1952;5;13;10.3;-85.3;;7.8;;COSTA RICA-PANAMA;West
2847;Yes;1952;6;3;39.8;39.5;64;;;TURKEY: PASINLER (HASANKALE),ERZINCAN;East
2848;;1952;6;19;22.7;99.8;;;94;CHINA: YUNNAN PROVINCE;East
2849;;1952;7;13;-18.5;169.25;;6.5;;VANUATU ISLANDS;South
2850;Yes;1952;7;21;35;-119.017;260;6.8;;CALIFORNIA: KERN COUNTY;South
2851;;1952;8;17;30.5;91.5;16;7.7;12;CHINA: TIBET (XIZANG PROVINCE);South
2852;;1952;8;22;35.333;-118.917;60;;54;CALIFORNIA: KERN COUNTY;North
2853;;1952;9;30;28.3;102.2;16;5.8;2;CHINA: SICHUAN PROVINCE;West
2854;;1952;10;8;39;112.7;;6.8;;CHINA: SHANXI PROVINCE;South
2855;;1952;10;22;36.5;35.5;;5.5;;TURKEY: CEYHAN,MISIS;West
2856;;1952;11;4;52.755;160.057;;0.5;20;RUSSIA: KAMCHATKA PENINSULA;South
2857;Yes;1952;12;8;22.9;99.7;22;0.9;;CHINA: YUNNAN PROVINCE;East
2858;;1952;12;30;10.3;-83.5;;5.8;;COSTA RICA;North
2859;;1953;1;15;28.5;52.3;;;29;IRAN: GODER;South
2860;;1953;1;25;18.4;-73.4;;;11;HAITI;West
2861;;1953;2;12;35.4;55.1;;5.7;2;IRAN: TORUD;West
2862;;1953;2;15;-12;-77.5;;6.4;970;PERU: LIMA;North
2863;Yes;1953;3;17;50;156.5;;5.5;;RUSSIA: KURIL ISLANDS;East
2864;Yes;1953;3;18;40;27.5;;5.8;;TURKEY: YENICE, ONON;South
2865;;1953;4;23;-4.449;152.868;;7.5;1070;PAPUA NEW GUINEA: SOLOMON ISLANDS;West
2866;Yes;1953;4;;29;52;35;7.4;;IRAN: KHAN-E-ZENYAN,KHATIRI;South
2867;;1953;5;3;24.2;103.2;;;1;CHINA: YUNNAN PROVINCE;South
2868;;1953;5;6;-36.5;-72.5;;0.5;;CHILE: CHILLAN, CONCEPCION;East
2869;Yes;1953;5;31;19.8;-70.7;60;7.6;9;DOMINICAN REPUBLIC: PUERTO PLATA;North
2870;Yes;1953;6;18;41.4;26.3;33;7.2;;TURKEY: EDIRNE;North
2871;;1953;7;2;-19;169;;;37;VANUATU ISLANDS;East
2872;;1953;8;11;38.1;20.6;223;7.5;;GREECE: ASPROGERAKAS (KEPHALLENIA);East
2873;;1953;8;12;38.3;20.8;33;6.8;;GREECE: LIXOURI-ARGOSTOLI (KEPHALLENIA);North
2874;Yes;1953;9;10;35;32.5;;7.2;476;CYPRUS: PAPHOS;North
2875;Yes;1953;9;14;-18.3;178.2;;6.5;40;FIJI ISLANDS;South
2876;Yes;1953;11;4;-13.189;166.516;33;6.4;2;SOLOMON ISLANDS;South
2877;;1953;11;25;34;141.7;35;7.5;;JAPAN: KASHIMA;South
2878;Yes;1953;12;7;-22.1;-68.7;60;7.4;1;CHILE: NORTHERN;North
2879;;1953;12;12;-3.4;-80.6;128;7.4;3;PERU-ECUADOR;West
2880;Yes;1954;2;5;17.3;-92.6;30;7.4;6;MEXICO: CHIAPAS;East
2881;;1954;2;11;39;101.3;100;6.2;6;CHINA: GANSU PROVINCE;North
2882;Yes;1954;2;28;-34.9;138.7;;7.3;;AUSTRALIA: ADELAIDE: S;North
2883;;1954;3;21;;;4;5.4;;MYANMAR;East
2884;;1954;3;29;37;-3.5;180;7.4;;SPAIN;North
2885;;1954;4;20;39.8;22.1;640;0.7;;GREECE;East
2886;;1954;4;29;29.5;-29.5;;0.7;25;ATLANTIC OCEAN: NORTHERN;North
2887;;1954;4;30;39.3;22.2;;7.5;;GREECE: SOPHADES (KARDITSA);South
2888;;1954;6;10;36;66;;0.7;31;AFGHANISTAN: NORTHERN;East
2889;;1954;6;17;31.6;116.6;;;2000;CHINA: ANHUI PROVINCE;South
2890;;1954;7;2;13;123.9;;5.3;;PHILIPPINES: LUZON: SORSOGON, BACON, LEGASPI;West
2891;;1954;7;6;39.4;-118.5;;6.8;13;NEVADA: FALLON;East
2892;;1954;7;31;38.8;104.2;;6.8;;CHINA: NEI MONGOL;South
2893;;1954;8;20;27.5;52;;0.7;;IRAN: TONBAK,KANGAN,SABAKHI,AKHTAR;East
2894;;1954;8;23;39.6;-118.5;;0.5;1;NEVADA: STILLWATER RANGE;West
2895;;1954;9;9;36.283;1.467;;6.8;;ALGERIA: ORLEANSVILLE;West
2896;Yes;1954;9;9;36;1.5;;6.7;1243;ALGERIA: EL ASNAM;South
2897;;1954;9;9;36;1.5;;6.7;;ALGERIA: EL ASNAM;West
2898;;1954;9;9;36;1.5;;;;ALGERIA: EL ASNAM;South
2899;;1954;10;24;29.4;104.8;;0.6;;CHINA: SICHUAN PROVINCE;South
2900;;1954;11;2;-8;119;;0.5;;INDONESIA: SUMABAWA: BIMA,RABA;South
2901;;1954;11;18;38.9;142.2;;6.8;;JAPAN: HONSHU: MIYAGI PREFECTURE;South
2902;Yes;1954;12;16;39.3;-118.2;30;6.5;;NEVADA: DIXIE VALLEY;East
2903;;1955;1;18;11.46;-69.57;;0.7;;VENEZUELA: OFF THE COAST NEAR LA VELA;North
2904;Yes;1955;1;25;33.8;-118.2;;;;CALIFORNIA: TERMINAL ISLAND;West
2905;;1955;2;18;30.5;67;;;;PAKISTAN: QUETTA;West
2906;;1955;2;27;-28;-175.5;;;12;KERMADEC ISLANDS;East
2907;;1955;3;31;8.1;123.2;60;7.8;;PHILIPPINES: MINDANAO: LANAO,OZAMIZ,COTABATO;East
2908;;1955;4;4;13;-87;96;7.6;400;NICARAGUA: MANAGUA;South
2909;;1955;4;13;37.5;22;;6.2;;GREECE: S;West
2910;;1955;4;14;30;101.8;;;;CHINA: SICHUAN PROVINCE;West
2911;;1955;4;15;39.9;74.6;;7.5;39;CHINA: XINJIANG PROVINCE;West
2912;;1955;4;19;39.4;23.1;;0.7;;GREECE: DRAKIA-AGRIA (MAGNESIA);South
2913;Yes;1955;4;19;-30;-72;33;6.2;8;CHILE;West
2914;Yes;1955;4;21;39.5;23;30;7.1;;GREECE: AEGEAN SEA;West
2915;;1955;4;24;44.2;83.6;;0.6;7;CHINA: XINJIANG PROVINCE;West
2916;;1955;5;17;6.5;94;;6.5;;INDIA: LITTLE NICOBAR ISLAND;East
2917;Yes;1955;6;7;26.5;101.1;;7.3;;CHINA: YUNNAN PROVINCE;South
2918;;1955;7;16;37.5;27;;0.6;;TURKEY: SOKE, AYDIN;East
2919;;1955;7;20;0.2;-78.4;;6.8;4;COLOMBIA-ECUADOR;North
2920;;1955;9;1;10;-84.5;;0.6;;COSTA RICA;North
2921;;1955;9;8;-6.9;155.7;;5.8;10;SOLOMON ISLANDS: FAURO ISLAND;West
2922;Yes;1955;9;12;32.2;29.6;33;6.5;;EGYPT: NILE DELTA;West
2923;;1955;9;23;26.6;101.8;;6.3;22;CHINA: YUNNAN PROVINCE;East
2924;Yes;1955;10;1;29.9;101.4;10;6.8;;CHINA: SICHUAN PROVINCE;North
2925;;1955;10;9;-16.2;-71.3;;5.8;;PERU: MUNGUI,LA UNION PROV,AREQUIPA,TORO,COTAHUASI;North
2926;;1955;10;10;-5.1;152.924;;;1;PAPUA NEW GUINEA: BISMARCK SEA;West
2927;Yes;1956;1;8;17;-99.5;35;7.3;;MEXICO: GUERRERO;North
2928;;1956;1;8;-19;-70;;6.5;;CHILE;South
2929;Yes;1956;1;10;-20;-175;;7.1;;TONGA ISLANDS;South
2930;;1956;1;12;47.5;19.3;;7.7;;HUNGARY;East
2931;;1956;1;16;-0.5;-80.5;;5.8;2;ECUADOR;East
2932;;1956;1;24;12.2;-86.7;;7.3;;NICARAGUA: PUERTO SAMOZA;West
2933;;1956;1;31;45.5;14.3;;7.3;;BALKANS NW: SLOVENIA: ILIRSKA BISTRICA,KOSEZE;West
2934;;1956;2;20;40;30.5;7;4.5;;TURKEY: ESKISEHIR;East
2935;;1956;3;2;-38.9;175.7;;5.8;4;NEW ZEALAND: NORTH ISLAND;South
2936;Yes;1956;3;5;44.3;144.1;;5.3;;NE. HOKKAIDO ISLAND, JAPAN;West
2937;Yes;1956;3;16;35.5;35.5;20;;;LEBANON: LITANI;East
2938;;1956;4;19;37;-4;;5.8;148;SPAIN;South
2939;;1956;5;23;-15;-179;;;7;FIJI ISLANDS;East
2940;;1956;6;9;35.1;67.5;430;7.5;;AFGHANISTAN: KABUL;West
2941;;1956;7;9;36.9;26;60;7.6;100;GREECE: DODECANESE;West
2942;Yes;1956;7;9;36.8;25.2;20;7.8;53;GREECE: AEGEAN SEA;South
2943;Yes;1956;7;16;22.2;95.7;;6.8;;MYANMAR (BURMA);East
2944;;1956;7;18;-5.5;130;39;0.7;38;INDONESIA: BANDA SEA;West
2945;;1956;7;21;23.278;70.107;190;7.5;;INDIA: ANJAR, BHUJ, GANDHIDHAM, KANDLA;West
2946;;1956;8;12;33.8;138.8;15;0.6;156;JAPAN: IZU PENINSULA;North
2947;Yes;1956;8;19;37.8;114;50;6.5;;CHINA: SHANXI PROVINCE;West
2948;;1956;10;11;46;150.5;;0.5;;RUSSIA: KURIL ISLANDS;South
2949;;1956;10;31;27.2;54.4;110;7.6;;IRAN: BASTAK;South
2950;;1956;11;2;39.5;23;;6.8;347;GREECE: VOLOS-AGRIA (MAGNESIA);West
2951;Yes;1956;12;18;-25.5;-71;;5.7;;CHILE: ANTOFAGASTA;North
2952;Yes;1956;12;31;40.5;115.5;33;;;CHINA: HEBEI PROVINCE;West
2953;;1957;2;20;36.2;8.9;;0.5;;TUNISIA: SIDI ABID,SIDI TOUIL (LA MEDJA),CAILLOUX;East
2954;;1957;2;23;23.9;121.6;;5.6;13;TAIWAN: HUALIEN, TAIPEI;North
2955;;1957;3;8;39.4;22.8;69;7.2;11;GREECE: STEPHANOVIKION-VELESTNON (MAGNESIA);West
2956;;1957;3;9;51.292;-175.629;;0.7;2;ALASKA;West
2957;Yes;1957;3;22;55;-165.2;33;8.6;;ALASKA: ALEUTIAN ISLANDS: FOX ISLANDS;West
2958;;1957;4;14;-15.5;-173;;7.5;;SAMOA ISLANDS;East
2959;;1957;4;16;-4.6;107.1;60;7.5;;INDONESIA: JAVA SEA;North
2960;;1957;4;23;33.4;52.5;600;7.5;;IRAN: KACHU MESQAL;East
2961;;1957;4;24;36.31;28.62;;;16;TURKEY;South
2962;;1957;4;25;36.4;28.55;40;6.9;;TURKEY: FETHIYE (LYCIA, ASIA MINOR);South
2963;;1957;5;26;40.7;30.9;41;7.1;18;TURKEY: ABANT;North
2964;;1957;6;10;38;112.5;;7.1;500;CHINA: SHANXI PROVINCE;North
2965;;1957;6;22;-1.5;137;;0.5;;INDONESIA: NEW GUINEA: IRIAN JAYA;South
2966;Yes;1957;6;27;56.2;116.4;33;7.3;;RUSSIA: CHITA;West
2967;;1957;7;2;36.1;52.7;15;7.6;;IRAN: HAZANDERAN, ABEGARM;North
2968;;1957;7;28;16.5;-99.1;14;6.6;1100;MEXICO: ACAPULCO,MEXICO CITY;South
2969;Yes;1957;7;29;-23.5;-71.5;25;7.9;65;CHILE: ANTOFAGASTA;North
2970;Yes;1957;9;5;28.3;53.3;33;0.7;;IRAN: JAHROM;South
2971;;1957;9;24;5.5;127.5;;;;PHILIPPINES;East
2972;;1957;9;26;-8.2;107.3;60;7.6;;S. JAVA SEA;West
2973;Yes;1957;9;28;-20.4;-178.5;;;;FIJI ISLANDS;North
2974;;1957;10;26;-2;116;549;7.5;;INDONESIA: KALIMANTAN ISLAND;North
2975;Yes;1957;11;29;-21;-66;;0.6;;BOLIVIA: S;North
2976;;1957;11;;;;170;7.8;;SOLOMON ISLANDS;East
2977;Yes;1957;12;4;45.5;99.5;;;;MONGOLIA;West
2978;;1957;12;13;34.3;47.8;33;8.1;30;IRAN: FARSINAJ;West
2979;;1957;12;17;-12.3;166.7;;7.1;1200;SOLOMON ISLANDS: SANTA CRUZ ISLANDS;South
2980;;1958;1;15;-16.5;-72;120;7.8;;PERU: AREQUIPA;South
2981;;1958;1;16;36.5;53;60;7.3;28;IRAN;West
2982;;1958;1;19;1.5;-79.5;;;;COLOMBIA-ECUADOR;West
2983;Yes;1958;2;1;2;-79;60;7.6;111;COLOMBIA;South
2984;;1958;2;7;31.5;104;;;22;CHINA: SICHUAN PROVINCE;East
2985;Yes;1958;3;11;25;125;;6.2;;JAPAN: RYUKYU ISLANDS;South
2986;;1958;4;21;-4.5;104;70;7.5;;INDONESIA: SUMATRA: BENGKULU;West
2987;Yes;1958;5;14;38.5;-28.8;200;6.7;;AZORES;North
2988;;1958;7;10;58.37;-136.665;;;;ALASKA: LITUYA BAY;East
2989;Yes;1958;7;26;-13.5;-69;35;7.8;;PERU: S;West
2990;;1958;8;16;34.4;47.9;620;7.5;;IRAN: FIRUZABAD;North
2991;;1958;9;1;-18;-65;20;6.7;132;PERU: S;West
2992;;1958;9;4;-33.785;-70.112;;;4;CHILE-ARGENTINA;South
2993;;1958;9;17;49.3;156.4;;6.8;7;RUSSIA: KURIL ISLANDS;East
2994;Yes;1958;9;21;36;49;;;;IRAN;South
2995;;1958;9;25;22.5;109.5;;;20;CHINA: GUANGXI PROVINCE;West
2996;;1958;10;20;-9.5;112.5;;5.8;;INDONESIA: JAVA: MALANG;West
2997;;1958;11;4;-50;-115;100;6.7;8;EAST PACIFIC RIDGE;North
2998;Yes;1958;11;6;44.53;148.54;;6.1;;RUSSIA: KURIL ISLANDS;West
2999;Yes;1958;11;12;44.2;148.8;40;8.3;;RUSSIA: KURIL ISLANDS;North
3000;Yes;1958;11;18;44.3;9.9;29;;;ITALY: N;West
